50 Cent,nm1265067
A Martinez,nm0553436
A.J. Buckley,nm0118568
A.J. Cook,nm0176882
A.J. Langer,nm0486277
Aadila Dosani,nm4602010
Aaliyah,nm0004691
Aamir Khan,nm0451148
Aaron Ashmore,nm0039148
Aaron Douglas,nm0234928
Aaron Eckhart,nm0001173
Aaron Jeffery,nm0420279
Aaron Lohr,nm0517909
Aaron Moorhead,nm1823264
Aaron Paul,nm0666739
Aaron Pedersen,nm0669853
Aaron Ruell,nm1088052
Aaron Schwartz,nm0777125
Aaron Sorkin,nm0815070
Aaron Stanford,nm0822155
Aaron Staton,nm1837590
Aaron Taylor-Johnson,nm1093951
Aaron Tveit,nm3117836
Aarti Mann,nm1865834
Aasif Mandvi,nm0541902
Abbey Lee,nm3880181
Abbi Jacobson,nm3434305
Abbie Cobb,nm2796384
Abbie Cornish,nm0180411
Abby Brammell,nm1354503
Abby Elliott,nm2212031
Abby Miller,nm1787491
Abby Quinn,nm5362984
Abby Ryder Fortson,nm5338858
Abe Vigoda,nm0001820
Abel Ferrara,nm0001206
Abigail Breslin,nm1113550
Abigail Cowen,nm6792464
Abigail Hawk,nm0348962
Abigail Spencer,nm0817844
Abraham Benrubi,nm0072344
Abril Zamora,nm2837721
Ace Bhatti,nm0080372
Ada Nicodemou,nm0630124
Adam Arkin,nm0035060
Adam Baldwin,nm0000284
Adam Beach,nm0063440
Adam Bogen,nm3351520
Adam Brody,nm0111013
Adam Campbell,nm0968405
Adam Copeland,nm0178581
Adam Croasdell,nm0189488
Adam Devine,nm2796745
Adam DiMarco,nm4348240
Adam Driver,nm3485845
Adam Elshar,nm6756764
Adam F. Goldberg,nm1104057
Adam Faison,nm7606991
Adam Garcia,nm0305081
Adam Godley,nm0324134
Adam Goldberg,nm0004965
Adam Herschman,nm2012635
Adam Kaufman,nm0442066
Adam McKay,nm0570912
Adam Nagaitis,nm1835523
Adam Pally,nm1269723
Adam Pascal,nm0664238
Adam Rodriguez,nm0735226
Adam Rothenberg,nm1079976
Adam Sandler,nm0001191
Adam Scott,nm0004395
Adam Shulman,nm0795719
Adam Storke,nm0832531
Adam West,nm0001842
Adam Wingard,nm1417392
Adam Wylie,nm0943766
Adan Canto,nm3841486
Ada-Nicole Sanger,nm2405500
Adarsh Gourav,nm3841091
Addison Rae,nm11290905
Addison Riecke,nm5196965
Addison Timlin,nm1789970
Adeel Akhtar,nm2253821
Adelaide Clemens,nm2564938
Adelaide Kane,nm2560043
Adele Exarchopoulos,nm2650819
Adele Haenel,nm1194748
Aden Young,nm0949237
Adepero Oduye,nm1323822
Adewale Akinnuoye-Agbaje,nm0015382
Adhir Kalyan,nm2290876
Adina Porter,nm0692013
