"Home, Sweet Home",1914,190,5,tt0003167
Judith of Bethulia,1914,1259,6,tt0004181
The Patchwork Girl of Oz,1914,398,5,tt0004457
The Perils of Pauline,1914,942,6,tt0004465
Tillie's Punctured Romance,1914,3301,6,tt0004707
The Birth of a Nation,1915,22989,6,tt0004972
Intolerance: Love's Struggle Throughout the Ages,1916,14378,7,tt0006864
'49-'17,1917,279,5,tt0007610
The Little Princess,1917,641,5,tt0008196
A Modern Musketeer,1917,264,6,tt0008309
Rebecca of Sunnybrook Farm,1917,782,6,tt0008499
Hearts of the World,1918,918,6,tt0009150
A Romance of Happy Valley,1919,344,6,tt0009559
Shifting Sands,1918,702,5,tt0009608
Broken Blossoms,1919,9532,7,tt0009968
Don't Change Your Husband,1919,1131,6,tt0010071
"For Better, for Worse",1919,697,5,tt0010137
Getting Mary Married,1919,207,6,tt0010162
The Greatest Question,1919,673,5,tt0010193
Male and Female,1919,1740,7,tt0010418
True Heart Susie,1919,1641,7,tt0010806
April Folly,1920,130,6,tt0010964
The Last of the Mohicans,1920,1142,6,tt0011387
The Mark of Zorro,1920,2247,7,tt0011439
The Restless Sex,1920,150,6,tt0011623
The Round-Up,1920,126,5,tt0011647
The Saphead,1920,1458,6,tt0011652
Something to Think About,1920,579,5,tt0011716
Way Down East,1920,5100,7,tt0011841
Why Change Your Wife?,1920,1342,6,tt0011865
The Affairs of Anatol,1921,1215,6,tt0011909
Buried Treasure,1921,168,6,tt0012016
Enchantment,1921,275,6,tt0012136
The Kid,1921,115152,8,tt0012349
Little Lord Fauntleroy,1921,283,6,tt0012397
My Boy,1921,243,6,tt0012486
Orphans of the Storm,1921,4797,7,tt0012532
A Sailor-Made Man,1921,972,6,tt0012642
The Sheik,1921,3127,6,tt0012675
Beauty's Worth,1922,776,6,tt0012928
Beyond the Rocks,1922,2226,6,tt0012938
The Bride's Play,1922,259,6,tt0012975
Dr. Jack,1922,1284,7,tt0013075
Grandma's Boy,1922,1671,7,tt0013201
Oliver Twist,1922,729,6,tt0013450
Sherlock Holmes,1922,570,5,tt0013597
Tess of the Storm Country,1922,426,6,tt0013662
When Knighthood Was in Flower,1922,971,6,tt0013750
Cameo Kirby,1923,326,5,tt0013909
The Saga of Gosta Berling,1924,1112,7,tt0014109
Little Old New York,1923,891,6,tt0014205
Our Hospitality,1923,10341,7,tt0014341
The Pilgrim,1923,4569,7,tt0014358
Safety Last!,1923,18656,8,tt0014429
Three Ages,1923,4096,7,tt0014538
The White Sister,1923,396,6,tt0014605
Why Worry?,1923,1600,7,tt0014611
A Woman of Paris: A Drama of Fate,1923,4965,7,tt0014624
Zaza,1923,799,6,tt0014636
America,1924,351,6,tt0014672
Beau Brummel,1924,414,6,tt0014702
Forbidden Paradise,1924,127,6,tt0014925
Girl Shy,1924,3138,7,tt0014945
Hot Water,1924,1258,7,tt0015002
The Iron Horse,1924,1977,7,tt0015016
Janice Meredith,1924,671,5,tt0015022
Manhandled,1924,989,6,tt0015116
The Navigator,1924,9186,7,tt0015163
Romola,1924,165,6,tt0015289
Sherlock Jr.,1924,42948,8,tt0015324
Wine of Youth,1924,316,6,tt0015500
Yolanda,1924,126,5,tt0015518
The Circle,1925,519,6,tt0015684
Don Q Son of Zorro,1925,426,6,tt0015758
The Eagle,1925,1793,6,tt0015772
The Freshman,1925,5056,7,tt0015841
The Joyless Street,1925,1405,7,tt0015842
Go West,1925,3904,7,tt0015863
The Gold Rush,1925,102383,8,tt0015864
Greed,1924,9157,8,tt0015881
Lady of the Night,1925,553,6,tt0016005
Lazybones,1925,481,7,tt0016013
Lights of Old Broadway,1925,452,6,tt0016023
The Little Colonel,1935,1483,7,tt0016029
The Merry Widow,1925,2153,7,tt0016104
The Plastic Age,1925,281,6,tt0016226
Pretty Ladies,1925,132,3,tt0016241
Proud Flesh,1925,102,3,tt0016251
The Rag Man,1925,323,7,tt0016258
Riders of the Purple Sage,1925,179,6,tt0016288
"Sally, Irene and Mary",1925,140,3,tt0016309
Seven Chances,1925,9406,7,tt0016332
Stage Struck,1925,851,6,tt0016394
The Vanishing American,1925,294,6,tt0016480
Zander the Great,1925,615,5,tt0016560
Bardelys the Magnificent,1926,1076,7,tt0016627
Battling Butler,1926,3011,7,tt0016630
Beau Geste,1926,347,7,tt0016634
The Bells,1926,372,6,tt0016640
Ben-Hur: A Tale of the Christ,1925,7140,7,tt0016641
Beverly of Graustark,1926,453,5,tt0016646
La Boheme,1926,1436,7,tt0016669
The Boob,1926,457,5,tt0016672
Brown of Harvard,1926,1406,6,tt0016690
Don Juan,1926,745,7,tt0016804
Fine Manners,1926,770,5,tt0016871
Flesh and the Devil,1926,3977,7,tt0016884
For Heaven's Sake,1926,1482,7,tt0016895
The Great K & A Train Robbery,1926,281,6,tt0016939
The Lodger,1927,10541,7,tt0017075
Old Ironsides,1926,195,6,tt0017226
The Scarlet Letter,1926,1568,7,tt0017350
So This Is Paris,1926,329,7,tt0017409
The Temptress,1926,1092,6,tt0017449
Torrent,1926,710,6,tt0017480
"Tramp, Tramp, Tramp",1926,618,6,tt0017483
West Point,1927,1722,6,tt0017534
The Winning of Barbara Worth,1926,716,7,tt0017567
Annie Laurie,1927,355,5,tt0017632
Cafe Electric,1927,115,6,tt0017726
Children of Divorce,1927,225,6,tt0017751
College,1927,4457,7,tt0017765
The Drop Kick,1927,212,4,tt0017832
Easy Virtue,1927,2553,5,tt0017843
The Fair Co-Ed,1927,709,5,tt0017860
The General,1926,82081,8,tt0017925
It,1927,2998,7,tt0018033
The Jazz Singer,1927,9202,6,tt0018037
The Kid Brother,1927,3904,7,tt0018051
Love,1927,895,7,tt0018107
The Love of Sunya,1927,769,6,tt0018113
My Best Girl,1927,793,7,tt0018183
Nevada,1927,104,6,tt0018199
Orchids and Ermine,1927,128,6,tt0018235
Paid to Love,1927,112,6,tt0018247
Quality Street,1927,730,6,tt0018297
The Red Mill,1927,1341,6,tt0018311
The Ring,1927,3194,6,tt0018328
The Show,1927,502,6,tt0018397
Spring Fever,1927,884,6,tt0018440
Tarzan and the Golden Lion,1927,134,5,tt0018464
Tillie the Toiler,1927,460,5,tt0018487
Twelve Miles Out,1927,549,5,tt0018513
Two Arabian Knights,1927,914,6,tt0018515
The Unknown,1927,7361,7,tt0018528
When a Man Loves,1927,315,6,tt0018566
Wings,1927,11628,7,tt0018578
Winners of the Wilderness,1927,105,3,tt0018579
Three Loves,1929,216,6,tt0018588
Across to Singapore,1928,978,6,tt0018618
The Cameraman,1928,10763,8,tt0018742
The Cardboard Lover,1928,809,6,tt0018749
The Circus,1928,30668,8,tt0018773
The Divine Woman,1928,339,6,tt0018836
Feel My Pulse,1928,158,6,tt0018882
The Four Feathers,1929,270,6,tt0018908
Four Sons,1928,646,7,tt0018909
Four Walls,1928,305,3,tt0018910
A Girl in Every Port,1928,652,6,tt0018937
Hangman's House,1928,413,6,tt0018972
The Last Command,1928,3441,8,tt0019071
"Laugh, Clown, Laugh",1928,1711,7,tt0019074
Lilac Time,1928,646,6,tt0019098
The Mating Call,1928,350,6,tt0019152
Mother Machree,1927,123,5,tt0019182
Moulin Rouge,1928,187,6,tt0019186
The Mysterious Lady,1928,1183,7,tt0019195
Our Dancing Daughters,1928,1561,6,tt0019237
The Patsy,1928,2340,7,tt0019258
The Racket,1928,1137,6,tt0019304
Rose-Marie,1928,124,3,tt0019335
Sadie Thompson,1928,2551,7,tt0019344
Show People,1928,3505,7,tt0019379
Speedy,1928,3326,7,tt0019412
"Steamboat Bill, Jr.",1928,13415,7,tt0019421
Weary River,1929,417,6,tt0019557
The Wedding March,1928,1554,7,tt0019558
West of Zanzibar,1928,1626,7,tt0019563
The Wind,1928,6099,8,tt0019585
A Woman of Affairs,1928,1376,7,tt0019591
Behind That Curtain,1929,408,4,tt0019684
Big News,1929,216,5,tt0019690
The Black Watch,1929,267,5,tt0019699
Blackmail,1929,9775,7,tt0019702
Bulldog Drummond,1929,900,6,tt0019735
The Canary Murder Case,1929,586,6,tt0019745
The Cocoanuts,1929,7097,7,tt0019777
Disraeli,1929,1064,6,tt0019823
The Divine Lady,1928,673,6,tt0019824
The Duke Steps Out,1929,117,3,tt0019839
Dynamite,1929,379,7,tt0019843
Flight,1929,266,6,tt0019884
The Flying Scotsman,1929,109,6,tt0019889
Gold Diggers of Broadway,1929,145,6,tt0019936
The Great Divide,1929,121,5,tt0019945
The Greene Murder Case,1929,304,6,tt0019949
Half Marriage,1929,118,5,tt0019957
Hell's Heroes,1929,663,7,tt0019976
High Voltage,1929,301,5,tt0019983
The Hole in the Wall,1929,144,5,tt0019992
The Hollywood Revue of 1929,1929,1856,5,tt0019993
Seven Footprints to Satan,1929,333,6,tt0020004
I Kiss Your Hand Madame,1929,123,6,tt0020011
The Informer,1929,189,7,tt0020025
The Kiss,1929,969,6,tt0020062
The Last Performance,1929,338,6,tt0020078
The Last of Mrs. Cheyney,1929,437,6,tt0020081
The Locked Door,1929,442,6,tt0020103
The Love Parade,1929,2001,7,tt0020112
Marianne,1929,1152,6,tt0020143
Marianne,1929,386,5,tt0020144
Mexicali Rose,1929,165,5,tt0020166
The Mysterious Dr. Fu Manchu,1929,194,6,tt0020197
The Mysterious Island,1929,579,6,tt0020198
New York Nights,1929,178,5,tt0020217
Noah's Ark,1928,671,6,tt0020223
Our Modern Maidens,1929,705,6,tt0020247
Piccadilly,1929,1378,7,tt0020269
Pointed Heels,1929,103,6,tt0020278
Queen Kelly,1932,3080,7,tt0020298
The Racketeer,1929,360,5,tt0020305
Salute,1929,160,5,tt0020359
The Saturday Night Kid,1929,198,6,tt0020364
The Shakedown,1929,145,6,tt0020392
The Show of Shows,1929,381,5,tt0020403
The Single Standard,1929,504,6,tt0020410
So This Is College,1929,203,5,tt0020425
Spite Marriage,1929,1913,7,tt0020442
The Squall,1929,359,4,tt0020446
The Studio Murder Mystery,1929,128,5,tt0020461
Their Own Desire,1929,604,5,tt0020488
Thunderbolt,1929,527,6,tt0020499
Tide of Empire,1929,177,6,tt0020502
The Trespasser,1929,1250,6,tt0020514
The Unholy Night,1929,200,5,tt0020534
Untamed,1929,482,5,tt0020538
The Virginian,1929,687,6,tt0020556
Welcome Danger,1929,688,6,tt0020572
